id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;drat;so between;scrap amidst;astonishing;lawful creator;demobilise the promptly;more;hydrant mechanically;unique fervently;wherever;any;whereas priesthood spice;uh-huh whether till;in before including;whoever which regarding;yahoo;whenever;esteemed comb unimpressively;briefly potentially psst;indeed painfully;airmail;till inasmuch
2;engage inside;poorly energetically;babyish what qua;airmail past;unless hard-to-find celebrate;eventually axe;tepid;huzzah ew;rotating over;ew whisper;bourgeoisie um;apologise valentine;evenly;absent account arbitrate;wildly incidentally phooey;gosh omelet;weight;without nudge;snarling blossom;consequently matter indeed;typify so properly;greedily
3;why;beside which by;than dishonor kettledrum;ha yuck;but scarcely;astride;soybean;uh-huh;before provided;hmph gah so;weary editor;ruddy;where reservation zowie;below roughly thick;queasily crocodile;whereas forecast publication;nor coolly;spark finally excess;uh-huh um bakeware;gladly whoa;embalm;searchingly storyboard drat
4;sociable;after masterpiece hence;doing phew;yowza;solace infinite because;concerning eek whoever;homely;despite;yuck emphasise which;lest;dreamily until favorite;controvert whoa since;below instantly;over yum supportive;synergy;youthfully;exotic limply;jovially;woefully where;shinny qua;fake plus a;where
5;boastfully;softly;cone shyly;scorn safely cruelly;mortally anti;however;dredger marketplace challenge;although broken;comfortable muddy;always freight tennis;gut perfection bah;psst status;gah;boom;because anenst amidst;consequently;meh plus perfumed;extract for;apropos firm pulp;minus tomography;properly eek;considering woot
6;er;coal excepting;apud wasteful;commandeer;flight;overdub windy;as;er massive beneath;alive;duh ouch memorise;eventually;negative shampoo gratefully;eek unless;uh-huh behind why;rowdy pfft contravene;stunning;supposing;phew complication;optimistically submissive;brr scaffold;awesome painfully without;since
7;ha yum;angrily custom;duffel inspect;consequently;out blissfully indelible;phew aha;per less;attribute petal although;waterlogged so;vision infamous;valiantly into modulo;keenly;dreamily;wetly;along;futon;baptise;mid except besides;cheerful;yet absent;councilman finally courageously;pantyhose hovercraft progress
8;declaration rationalize yellowish;supposing minty;between ouch boohoo;dismal farmer for;thunderbolt;frilly;pish;unless unabashedly;as;ownership painfully roughly;yak;why given exempt;when times;plump whose equally;mid;lace across;because;murky fooey;which;besides unethically while;closely schlep;why godfather
9;excluding than;calmly rightfully;sleet;respray t-shirt;mutate merge;as;apud sternly abaft;wombat properly;whereas duffel;clearly;commandeer heavily;to;responsibility fraudster that;relieve atop;weakly rival glum;continually;yum aw;develop impossible;gadzooks minus overcharge;intrigue french ashamed;provision miskey;yet where atop
10;dimly square;rebound advertisement;via;ape;preside hollow;majestically improbable;furthermore;curly asset;rapidly;tinted;though respectful skyscraper;oh wherever prudent;which willfully;mantua;achieve aside outflank;fortunate inasmuch;unsung lest;collectivization;obediently;shady properly;prioritize quip;rim left instead
