id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;sweetly gloom yahoo;outbid;2025-04-01;near physically;husk conceptualize once;cuddly meh safely;peter label ravel;foolish aw;mysterious favorite;apud;ironclad;never sternly meager;oh
2;past delightfully;after;2025-04-02;technologist brr and;shampoo;rebound;meanwhile mysteriously fellow;actually;openly pretend;decision readily;brr;draft meanwhile;circa concrete yet
3;yowza swine considering;yak decouple whenever;2025-04-01;yuck;intensely bug;oh;print along warm;coordinated;beneath markup account;fragrant dark;stall;starboard massage during;though
4;low;fast override squeaky;2025-04-01;pace consign;very;despite lovely finally;gnash;worriedly extra-large;blissfully jovially;shrill;infamous yet severe;indeed lest magnificent;wisely synergy because
5;quantify;versus nor;2025-04-01;oddball;bah ski drum;corrupt strictly;yawn;pish;gray glorious ew;delicious;cooperative above;waver heartache;cinder season bruised
6;yet compete;hmph cram;2025-04-01;gloss boo over;lasting scented until;tomography needily forenenst;old by boo;intently detective worth;ouch oof quadruple;microchip the deplore;diligent;wearily provision;hastily
7;mooch rudely;admired tomatillo;2025-04-02;specific rapid gorgeous;sizzling meadow;within;so gripping hope;meaningfully limping;tuba;yahoo yahoo implode;whereas;ah sans ugh;lamp
8;as dereference whenever;nicely;2025-04-02;whether including ick;where phooey instead;corporation that awful;the restfully;engender perfectly;fooey;needily er quip;er monthly inasmuch;phooey eek;boo so
9;drat;idealistic what;2025-04-01;probate;before which;readily brr;until aw;marimba;intrepid beneath dependent;scared boo;kissingly;ride upward coolly;madly overcooked
10;throbbing;meanwhile oily;2025-04-01;until underneath likewise;hoarse;howl;curly;officially needy given;unlike frugal;teammate rim;before provided;grandson leading;wherever
